Date,Transaction_Volume
2022-04-15,89865.0
2022-04-18,
2022-04-19,
2022-04-20,399400.0
2022-04-21,7169230.0
2022-04-22,162801.9
2022-04-25,51900667.03
2022-04-26,
2022-04-27,
2022-04-28,2046925.0
2022-04-29,
2022-05-02,
2022-05-03,
2022-05-04,
2022-05-05,82224440.0
2022-05-06,119820.0
2022-05-09,
2022-05-10,
2022-05-11,
2022-05-12,948575.0
2022-05-13,
2022-05-16,
2022-05-17,
2022-05-18,1043755.0
2022-05-19,
2022-05-20,
2022-05-23,36844850.0
2022-05-24,
2022-05-25,
2022-05-26,
2022-05-27,
2022-05-30,
2022-05-31,24628837.0
2022-06-01,21336780.0
2022-06-02,
2022-06-03,
2022-06-06,
2022-06-07,43506323.1
2022-06-08,
2022-06-09,
2022-06-10,
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,80937464.0
2022-06-17,57913000.0
2022-06-20,31932576.9
2022-06-21,58289020.3
2022-06-22,67509622.0
2022-06-23,53209590.0
2022-06-24,83860760.0
2022-06-27,35651075.0
2022-06-28,71183432.5
2022-06-29,51822740.0
2022-06-30,46745120.0
2022-07-01,85531650.0
2022-07-04,40797200.0
2022-07-05,77387300.0
2022-07-06,72399695.0
2022-07-07,74563525.0
2022-07-08,38316620.0
2022-07-11,
2022-07-12,
2022-07-13,45901900.0
2022-07-14,43890725.0
2022-07-15,
2022-07-18,89998750.78
2022-07-19,86430800.0
2022-07-20,169194146.7
2022-07-21,163834500.0
2022-07-22,239496320.0
2022-07-25,145209720.58
2022-07-26,147553313.5
2022-07-27,137084420.0
2022-07-28,117960945.11
2022-07-29,36436375.0
2022-08-01,169669935.0
2022-08-02,94092208.67
2022-08-03,74682795.0
2022-08-04,87335068.15
2022-08-05,101479710.0
2022-08-08,109130926.72
2022-08-09,64415900.0
2022-08-10,115880525.91
2022-08-11,107878560.0
2022-08-12,80004910.0
2022-08-15,92439410.0
2022-08-16,78031299.0
2022-08-17,105179675.0
2022-08-18,143500875.8
2022-08-19,59241280.0
2022-08-22,84802945.0
2022-08-23,74759020.0
2022-08-24,156943070.88
2022-08-25,76460080.0
2022-08-26,56392800.0
2022-08-29,77483580.0
2022-08-30,
2022-08-31,76828285.0
2022-09-01,54461990.0
2022-09-02,110751680.0
2022-09-05,15781040.0
2022-09-06,132576645.0
2022-09-07,106920885.0
2022-09-08,75312000.0
2022-09-09,117205720.0
2022-09-12,113143850.0
2022-09-13,135339145.0
2022-09-14,232162799.8
2022-09-15,139612285.6
2022-09-16,214716580.0
2022-09-19,140181900.0
2022-09-20,81909200.0
2022-09-21,128868640.0
2022-09-22,33400705.8
2022-09-23,126260015.0
2022-09-26,70963600.0
2022-09-27,90618300.0
2022-09-28,111363320.0
2022-09-29,100194150.0
2022-09-30,120002800.0
2022-10-03,88169500.0
2022-10-04,38416220.0
2022-10-05,150854310.27
2022-10-06,100933480.1
2022-10-07,93628200.0
2022-10-10,2742600.0
2022-10-11,56903478.56
2022-10-12,62294403.21
2022-10-13,73667650.0
2022-10-14,103432615.0
2022-10-17,116972720.0
2022-10-18,152789800.0
2022-10-19,145090000.0
2022-10-20,193775319.5
2022-10-21,117211200.0
2022-10-24,128748620.0
2022-10-25,128805500.0
2022-10-26,133720900.0
2022-10-27,145174300.0
2022-10-28,24683200.0
2022-10-31,174023280.0
2022-11-01,141465070.0
2022-11-02,137661160.0
2022-11-03,101006400.0
2022-11-04,42622484.0
2022-11-07,72776000.0
2022-11-08,74764540.0
2022-11-09,35389380.0
2022-11-10,14582650.0
2022-11-11,80339000.0
2022-11-14,207988120.1
2022-11-15,174721935.0
2022-11-16,221212299.19
2022-11-17,107255530.0
2022-11-18,180549800.0
2022-11-21,142518243.72
2022-11-22,111979940.0
2022-11-23,118208655.0
2022-11-24,70334375.0
2022-11-25,165093640.0
2022-11-28,150754520.0
2022-11-29,152322000.0
2022-11-30,161817062.5
2022-12-01,153657000.0
2022-12-02,139002920.0
2022-12-05,131373000.0
2022-12-06,138216950.0
2022-12-07,131172000.0
2022-12-08,137816000.0
2022-12-09,52015130.0
2022-12-12,121888725.0
2022-12-13,119469200.0
2022-12-14,167185120.0
2022-12-15,177121593.0
2022-12-16,211240400.0
2022-12-19,195012200.0
2022-12-20,159969640.0
2022-12-21,185812500.0
2022-12-22,210632000.0
2022-12-23,225632400.0
2022-12-26,157377000.0
2022-12-27,197011700.0
2022-12-28,220395245.0
2022-12-29,220243490.0
2022-12-30,79775200.0
2023-01-02,166143005.0
2023-01-03,153324054.86
2023-01-04,12122450.0
2023-01-05,111556000.0
2023-01-06,96881500.0
2023-01-09,325310300.0
2023-01-10,174283900.0
2023-01-11,128634876.33
2023-01-12,166075383.61
2023-01-13,233444800.0
2023-01-16,167829851.93
2023-01-17,217636096.99
2023-01-18,293119754.29
2023-01-19,330314460.0
2023-01-20,336007840.0
2023-01-23,543029200.0
2023-01-24,372927415.0
2023-01-25,334876488.0
2023-01-26,347777641.0
2023-01-27,319458620.0
2023-01-30,333149445.0
2023-01-31,335683980.0
2023-02-01,267487750.0
2023-02-02,281971700.0
2023-02-03,257761580.0
2023-02-06,255547600.0
2023-02-07,131036000.0
2023-02-08,360513356.0
2023-02-09,324103301.0
2023-02-10,145219400.0
2023-02-13,269743600.0
2023-02-14,179227350.0
2023-02-15,239162500.0
2023-02-16,188288600.0
2023-02-17,171932960.0
2023-02-20,259539370.0
2023-02-21,276210100.0
2023-02-22,357265893.93
2023-02-23,243703800.0
2023-02-24,349766480.0
